text,stress_level,stress_score,age,gender
Sometimes I feel stressed but it's manageable. Need advice.,Moderate,31.88885921511857,40,M
I can't cope with the pressure anymore. I don't know what to do.,High,71.12188277423637,51,Other
I feel worried about several things. I don't know what to do.,Moderate,43.857807173838786,62,Other
The stress is unbearable and I need immediate help. Seeking help.,Critical,85.44865079288947,53,F
I'm having trouble sleeping occasionally. How can I improve this?,Moderate,49.81010284001347,35,M
Everything is falling apart and I can't handle it anymore. How can I improve this?,Critical,89.04666730359435,66,Other
I can't sleep at all and feel like I'm falling apart.,Critical,80.95590381009949,66,F
I feel somewhat anxious about upcoming deadlines. Need advice.,Moderate,36.400992020612236,36,M
Life has been pretty manageable lately. How can I improve this?,Low,27.16145929257791,26,Other
The stress is unbearable and I need immediate help. Seeking help.,Critical,89.33594720308216,22,Other
I feel exhausted and depressed all the time. How can I improve this?,High,66.81296140192596,40,M
Life has been pretty manageable lately. I don't know what to do.,Low,14.832609141077445,22,Other
I feel completely helpless and don't know what to do. How can I improve this?,Critical,92.64578709696737,26,F
I can't sleep at all and feel like I'm falling apart. Seeking help.,Critical,77.52806690306976,57,F
I'm having trouble sleeping occasionally. Seeking help.,Moderate,44.124844543129925,46,M
Life has been pretty manageable lately. How can I improve this?,Low,11.119264412006727,34,Other
I'm having constant panic attacks and can't function. How can I improve this?,Critical,93.83445463147353,48,Other
Everything is falling apart and I can't handle it anymore. I don't know what to do.,Critical,92.6271091074165,43,Other
I'm enjoying my daily routine. I don't know what to do.,Low,7.610465216194163,45,F
I feel calm and peaceful.,Low,23.01584559325715,56,M
I feel exhausted and depressed all the time. How can I improve this?,High,74.05431371186354,66,M
Everything is falling apart and I can't handle it anymore. I don't know what to do.,Critical,85.9083957901639,61,M
I'm having constant panic attacks and can't function. Seeking help.,Critical,83.06715970693959,28,M
I'm having trouble sleeping occasionally. I don't know what to do.,Moderate,49.38605071238198,64,M
Work is balanced and I have time for hobbies. Seeking help.,Low,13.636231943033197,20,Other
I feel calm and peaceful. How can I improve this?,Low,28.761072222235384,41,M
I feel worried about several things. I don't know what to do.,Moderate,42.936967233374475,67,M
I feel completely helpless and don't know what to do.,Critical,92.45404285049364,26,M
Sometimes I feel stressed but it's manageable. Seeking help.,Moderate,43.69462345107759,30,F
I'm sleeping well and feeling energized. Seeking help.,Low,28.49399739875772,64,M
I'm tired from work pressure. Seeking help.,Moderate,47.32127779000817,22,Other
I'm tired from work pressure.,Moderate,46.21106661563665,28,M
I feel very anxious and unable to sleep because of work pressure. Need advice.,High,74.24785994536508,66,M
I feel good and relaxed today.,Low,12.444585070129955,38,Other
I can't sleep at all and feel like I'm falling apart. Seeking help.,Critical,88.35865687573657,55,Other
I can't cope with the pressure anymore. I don't know what to do.,High,68.1530211017962,27,Other
I'm sleeping well and feeling energized.,Low,6.151359855195747,68,M
I'm having panic attacks and anxiety episodes. I don't know what to do.,High,71.9555166869798,45,Other
Everything is going well at work. Need advice.,Low,14.944955599376788,67,M
I can't cope with the pressure anymore. Need advice.,High,52.210205584141164,34,Other
Work is balanced and I have time for hobbies. I don't know what to do.,Low,23.540047918329286,28,Other
The stress is unbearable and I need immediate help. I don't know what to do.,Critical,99.51156812730945,51,F
I'm having trouble sleeping occasionally. I don't know what to do.,Moderate,31.820041821026606,69,M
My mind keeps racing and I feel trapped. I don't know what to do.,High,72.76178196008183,68,M
The stress is unbearable and I need immediate help.,Critical,86.48367019865431,27,M
Sometimes I feel stressed but it's manageable. Seeking help.,Moderate,49.60065150570954,19,M
I'm enjoying my daily routine. Need advice.,Low,7.204368563345792,64,M
I feel a bit overwhelmed with responsibilities. How can I improve this?,Moderate,38.00600977820562,57,M
I feel completely helpless and don't know what to do. I don't know what to do.,Critical,87.88090137160528,68,Other
I have severe anxiety and depression that won't go away. Seeking help.,Critical,81.96475847579896,39,M
I can't cope with the pressure anymore. I don't know what to do.,High,61.51946920081814,63,F
Everything is going well at work.,Low,20.71184485888096,43,M
I'm tired from work pressure. Need advice.,Moderate,31.635180638977438,65,M
I feel calm and peaceful.,Low,24.18603839379184,52,M
Everything is falling apart and I can't handle it anymore. How can I improve this?,Critical,80.90291332793511,40,F
Sometimes I feel stressed but it's manageable. Need advice.,Moderate,31.24682725022483,68,Other
Everything feels hopeless and I'm struggling daily. How can I improve this?,High,62.79193605289166,62,F
I'm having trouble sleeping occasionally.,Moderate,37.94327665008165,54,F
I feel very anxious and unable to sleep because of work pressure. I don't know what to do.,High,55.28620017491362,61,M
The stress is unbearable and I need immediate help. I don't know what to do.,Critical,86.8492485357639,20,M
I feel a bit overwhelmed with responsibilities. I don't know what to do.,Moderate,41.68398969428338,64,M
I'm constantly worried and can't focus on anything. How can I improve this?,High,57.09439764496811,43,F
I'm enjoying my daily routine. Seeking help.,Low,29.59545746378939,50,M
I'm sleeping well and feeling energized. How can I improve this?,Low,10.960704590221729,47,Other
I'm sleeping well and feeling energized.,Low,5.201207858842645,20,Other
Life has been pretty manageable lately. I don't know what to do.,Low,29.47135850725819,37,Other
Everything is falling apart and I can't handle it anymore. Need advice.,Critical,99.37667907362857,19,Other
I'm constantly worried and can't focus on anything. How can I improve this?,High,56.9994773415071,22,F
The stress is unbearable and I need immediate help.,Critical,85.63591096541042,37,M
I feel very anxious and unable to sleep because of work pressure. Seeking help.,High,65.26550106104082,28,Other
I'm having trouble sleeping occasionally. I don't know what to do.,Moderate,41.877661951157975,27,M
I feel calm and peaceful. I don't know what to do.,Low,6.051913869907075,37,M
I feel good and relaxed today. Need advice.,Low,22.806835796690596,32,F
I'm tired from work pressure. Seeking help.,Moderate,32.13398500226872,61,F
I'm enjoying my daily routine. How can I improve this?,Low,28.150213704631135,52,Other
Everything is falling apart and I can't handle it anymore. Seeking help.,Critical,76.20236609910219,25,Other
Everything is falling apart and I can't handle it anymore. Need advice.,Critical,94.98842827298789,38,M
I feel completely helpless and don't know what to do. How can I improve this?,Critical,90.84396409300443,42,M
I'm constantly worried and can't focus on anything. Need advice.,High,70.41498598678943,55,M
Everything feels hopeless and I'm struggling daily.,High,64.43715677265314,50,Other
I'm tired from work pressure. Need advice.,Moderate,31.33238224781634,56,Other
I'm having trouble sleeping occasionally. I don't know what to do.,Moderate,42.55416106142836,69,Other
I can't sleep at all and feel like I'm falling apart. Need advice.,Critical,88.33652729940803,53,M
I feel good and relaxed today. Need advice.,Low,21.20941383730377,50,F
Everything is going well at work. Need advice.,Low,22.873760572220718,27,M
Life has been pretty manageable lately. How can I improve this?,Low,3.318952108656217,62,Other
I'm having constant panic attacks and can't function. How can I improve this?,Critical,87.1589370498902,29,M
Everything feels hopeless and I'm struggling daily. How can I improve this?,High,64.96106753013068,53,F
Sometimes I feel stressed but it's manageable. I don't know what to do.,Moderate,46.535976556181566,57,F
Work is balanced and I have time for hobbies. Need advice.,Low,13.86017410932398,29,F
I'm having panic attacks and anxiety episodes.,High,52.51986507539716,64,Other
The stress is unbearable and I need immediate help. Seeking help.,Critical,97.96876305651867,54,Other
I feel calm and peaceful.,Low,11.23306109161266,68,M
I feel good and relaxed today.,Low,27.76705538720329,63,M
Everything is falling apart and I can't handle it anymore.,Critical,79.65802198735301,18,Other
I'm having trouble sleeping occasionally. Seeking help.,Moderate,41.82550871489859,64,M
I'm constantly worried and can't focus on anything. Seeking help.,High,70.07133621495029,43,M
I feel calm and peaceful. Need advice.,Low,16.121868088137685,55,F
I'm having trouble sleeping occasionally.,Moderate,44.75002496219497,60,Other
I'm having trouble sleeping occasionally.,Moderate,34.96452885514304,24,F
I feel good and relaxed today. Need advice.,Low,10.871816973498994,39,F
Life has been pretty manageable lately.,Low,15.455210472204378,37,M
I'm sleeping well and feeling energized. Seeking help.,Low,25.81896053672202,57,M
Sometimes I feel stressed but it's manageable. Need advice.,Moderate,37.94636230915196,36,F
Life has been pretty manageable lately. Seeking help.,Low,18.74927961153157,47,Other
I'm sleeping well and feeling energized. I don't know what to do.,Low,21.421775993694848,19,F
Work has been a bit overwhelming lately. Need advice.,Moderate,39.94023897642498,21,M
I feel a bit overwhelmed with responsibilities. I don't know what to do.,Moderate,48.922309242672654,27,Other
I feel exhausted and depressed all the time. How can I improve this?,High,70.01874428715303,49,F
I can't sleep at all and feel like I'm falling apart. Need advice.,Critical,88.79306488148349,41,Other
I can't cope with the pressure anymore.,High,64.87622449251052,64,M
I feel good and relaxed today. I don't know what to do.,Low,16.701647543500982,52,F
I'm having panic attacks and anxiety episodes. How can I improve this?,High,70.75549661417479,69,M
I'm sleeping well and feeling energized. I don't know what to do.,Low,8.794431907830397,24,F
Work is balanced and I have time for hobbies. Seeking help.,Low,25.443842864006506,36,M
Work has been a bit overwhelming lately. Seeking help.,Moderate,48.21248007080608,37,Other
Work has been a bit overwhelming lately. How can I improve this?,Moderate,37.26118424390181,37,M
I'm tired from work pressure. Seeking help.,Moderate,37.25515789331891,61,Other
Everything is falling apart and I can't handle it anymore.,Critical,94.49396936970078,27,F
I'm tired from work pressure.,Moderate,39.421309053876286,67,Other
I feel very anxious and unable to sleep because of work pressure. Seeking help.,High,63.54085536652167,42,Other
I'm sleeping well and feeling energized. How can I improve this?,Low,25.047907103978975,43,F
I have severe anxiety and depression that won't go away. Need advice.,Critical,81.80768316298422,23,F
I'm constantly worried and can't focus on anything. I don't know what to do.,High,64.41291188785634,34,M
I'm constantly worried and can't focus on anything. Seeking help.,High,68.0050645408074,59,F
I feel good and relaxed today. Need advice.,Low,7.994951801126467,57,F
I feel very anxious and unable to sleep because of work pressure. I don't know what to do.,High,62.35684625345679,62,M
I feel worried about several things. I don't know what to do.,Moderate,45.41822754128541,60,M
I feel calm and peaceful. Seeking help.,Low,23.129577766064354,38,Other
I feel worried about several things. Need advice.,Moderate,44.380918103684905,51,Other
I'm having panic attacks and anxiety episodes.,High,53.375031935530174,53,Other
I'm having trouble sleeping occasionally.,Moderate,46.83059320620087,62,Other
Work has been a bit overwhelming lately.,Moderate,39.48474617400739,26,M
Sometimes I feel stressed but it's manageable. I don't know what to do.,Moderate,43.76804792855472,42,Other
Everything is going well at work. How can I improve this?,Low,23.982476369069378,68,F
I feel calm and peaceful. How can I improve this?,Low,10.829216908200804,66,M
I can't sleep at all and feel like I'm falling apart. How can I improve this?,Critical,86.1501443239489,33,Other
I can't cope with the pressure anymore. Seeking help.,High,68.97589613847124,33,F
I have severe anxiety and depression that won't go away. Need advice.,Critical,87.2356240910785,43,M
I have severe anxiety and depression that won't go away.,Critical,89.70659392424828,40,F
I'm constantly worried and can't focus on anything. Seeking help.,High,57.82137141263969,24,M
Everything is going well at work. Seeking help.,Low,12.652879791915376,35,Other
I feel completely helpless and don't know what to do. I don't know what to do.,Critical,82.97751183108139,56,M
My mind keeps racing and I feel trapped. How can I improve this?,High,55.750220932192576,62,F
I feel completely helpless and don't know what to do. How can I improve this?,Critical,83.49687409420166,56,Other
The stress is unbearable and I need immediate help.,Critical,94.7680791209741,30,F
I can't cope with the pressure anymore. I don't know what to do.,High,65.39657970455761,52,F
I feel completely helpless and don't know what to do. Seeking help.,Critical,96.86754181710498,35,Other
I'm sleeping well and feeling energized.,Low,10.521354463551305,46,F
I feel somewhat anxious about upcoming deadlines. How can I improve this?,Moderate,41.615144144546555,64,M
I can't sleep at all and feel like I'm falling apart. How can I improve this?,Critical,83.40926159571055,22,M
I'm enjoying my daily routine. I don't know what to do.,Low,14.019322996129578,21,F
I feel good and relaxed today. Seeking help.,Low,8.317969370903208,63,Other
I feel somewhat anxious about upcoming deadlines. How can I improve this?,Moderate,37.83260281080712,29,Other
I'm having constant panic attacks and can't function. How can I improve this?,Critical,81.47456629004535,23,Other
Everything is falling apart and I can't handle it anymore. Seeking help.,Critical,90.01996116105495,51,M
I feel exhausted and depressed all the time. How can I improve this?,High,55.79179253458609,46,Other
I'm enjoying my daily routine. I don't know what to do.,Low,15.380655330495257,60,F
I feel somewhat anxious about upcoming deadlines. Need advice.,Moderate,33.72876524288509,23,M
Work is balanced and I have time for hobbies.,Low,6.489720691096606,52,F
The stress is overwhelming and affecting my health. I don't know what to do.,High,59.90605047256647,35,F
I feel completely helpless and don't know what to do. Seeking help.,Critical,95.39582812476544,64,M
I'm having panic attacks and anxiety episodes. Need advice.,High,71.50317041044809,58,Other
Sometimes I feel stressed but it's manageable.,Moderate,47.774961597379544,51,F
I can't sleep at all and feel like I'm falling apart. Need advice.,Critical,88.77143426522848,51,Other
I'm enjoying my daily routine. I don't know what to do.,Low,21.70260341065755,35,F
I'm having constant panic attacks and can't function. Seeking help.,Critical,97.36199827420168,34,F
I'm tired from work pressure. I don't know what to do.,Moderate,41.84815569319035,20,F
I can't cope with the pressure anymore. Need advice.,High,56.675706754235534,33,M
I feel good and relaxed today. Seeking help.,Low,10.020266362357136,42,M
Everything feels hopeless and I'm struggling daily. How can I improve this?,High,67.4747684509897,24,M
I have severe anxiety and depression that won't go away. I don't know what to do.,Critical,86.63675021924959,27,Other
Work is balanced and I have time for hobbies. How can I improve this?,Low,4.822796881449246,19,F
The stress is unbearable and I need immediate help. Seeking help.,Critical,75.15964679292084,63,Other
I can't sleep at all and feel like I'm falling apart. I don't know what to do.,Critical,77.89609641950643,41,M
Everything is falling apart and I can't handle it anymore. I don't know what to do.,Critical,82.08357370663954,58,F
I feel worried about several things. Seeking help.,Moderate,33.58994646847667,46,F
The stress is unbearable and I need immediate help. Need advice.,Critical,76.6959264776293,34,F
I'm having panic attacks and anxiety episodes. I don't know what to do.,High,58.64707642382392,35,F
I'm having constant panic attacks and can't function. Need advice.,Critical,86.14895767525803,52,M
Sometimes I feel stressed but it's manageable. Need advice.,Moderate,30.442471030579945,28,F
Everything is going well at work. Seeking help.,Low,8.208799988449977,21,M
I feel good and relaxed today. Seeking help.,Low,4.9087146357500755,46,Other
Everything is going well at work. How can I improve this?,Low,23.184683400504134,39,Other
I feel somewhat anxious about upcoming deadlines. How can I improve this?,Moderate,49.26473306880264,46,M
I'm having constant panic attacks and can't function. Need advice.,Critical,90.96314869160214,22,Other
Work has been a bit overwhelming lately. I don't know what to do.,Moderate,47.881984073582686,52,M
I feel exhausted and depressed all the time. How can I improve this?,High,64.06875715858456,33,Other
Everything is falling apart and I can't handle it anymore. Seeking help.,Critical,80.09253123190686,25,Other
Work has been a bit overwhelming lately. Need advice.,Moderate,45.22047981885998,46,M
I have severe anxiety and depression that won't go away.,Critical,90.41625786301844,47,F
I'm having panic attacks and anxiety episodes. How can I improve this?,High,67.13913218072429,26,F
I feel calm and peaceful. Seeking help.,Low,1.9262681122540226,19,Other
I can't sleep at all and feel like I'm falling apart. I don't know what to do.,Critical,75.29051349770252,47,F
I feel a bit overwhelmed with responsibilities. Need advice.,Moderate,44.437752558538705,62,M
Everything is falling apart and I can't handle it anymore. Need advice.,Critical,97.695466324616,39,Other
I feel good and relaxed today. How can I improve this?,Low,3.083772134779971,37,M
My mind keeps racing and I feel trapped.,High,73.53093760580967,19,M
Life has been pretty manageable lately. Seeking help.,Low,2.4752560332126383,69,F
Work has been a bit overwhelming lately. I don't know what to do.,Moderate,49.549327726295715,63,F
I have severe anxiety and depression that won't go away. How can I improve this?,Critical,76.0295873819818,66,Other
I'm enjoying my daily routine.,Low,0.9475843447692611,56,Other
I'm constantly worried and can't focus on anything. I don't know what to do.,High,73.38004538248649,45,F
I feel completely helpless and don't know what to do. Need advice.,Critical,87.10996118935101,37,F
I have severe anxiety and depression that won't go away.,Critical,87.02259578622463,59,F
I'm sleeping well and feeling energized. How can I improve this?,Low,17.798359449305362,30,M
I have severe anxiety and depression that won't go away. How can I improve this?,Critical,83.22543594536656,62,M
I feel completely helpless and don't know what to do. I don't know what to do.,Critical,79.04181360367006,36,F
I feel somewhat anxious about upcoming deadlines. How can I improve this?,Moderate,39.86553693567599,27,Other
I can't cope with the pressure anymore.,High,60.45999471669132,24,M
I have severe anxiety and depression that won't go away. How can I improve this?,Critical,93.56766302999952,54,F
I have severe anxiety and depression that won't go away.,Critical,96.67578740306121,53,F
My mind keeps racing and I feel trapped. I don't know what to do.,High,65.15471783902929,53,F
The stress is overwhelming and affecting my health. Seeking help.,High,64.80875821483406,29,Other
My mind keeps racing and I feel trapped.,High,70.89995159453024,52,F
My mind keeps racing and I feel trapped. I don't know what to do.,High,65.04638459155021,61,F
I'm having constant panic attacks and can't function. Seeking help.,Critical,96.35962733423948,58,F
Life has been pretty manageable lately.,Low,13.359157650079965,37,F
I feel good and relaxed today.,Low,11.73244609955282,45,F
I'm having constant panic attacks and can't function. How can I improve this?,Critical,83.12975160561737,53,M
Work is balanced and I have time for hobbies. Need advice.,Low,7.081513900393919,31,F
I feel worried about several things.,Moderate,46.577667317652185,22,Other
I can't sleep at all and feel like I'm falling apart. How can I improve this?,Critical,79.17604769752374,45,M
Everything feels hopeless and I'm struggling daily. Seeking help.,High,66.59511319054513,66,M
My mind keeps racing and I feel trapped. How can I improve this?,High,64.6338591099188,37,F
I can't sleep at all and feel like I'm falling apart. How can I improve this?,Critical,88.2792382000258,43,M
The stress is overwhelming and affecting my health. Seeking help.,High,61.30497570708588,22,M
I'm having panic attacks and anxiety episodes. How can I improve this?,High,67.20519664666489,67,Other
Everything is going well at work. Seeking help.,Low,9.693919712108357,56,Other
I'm having trouble sleeping occasionally. How can I improve this?,Moderate,39.7769316051384,55,Other
Life has been pretty manageable lately. I don't know what to do.,Low,4.306270861181786,59,Other
Life has been pretty manageable lately. Seeking help.,Low,2.8170214736825514,49,F
Everything is falling apart and I can't handle it anymore.,Critical,81.3826631182108,43,Other
I'm constantly worried and can't focus on anything. I don't know what to do.,High,56.10368226055935,25,Other
I feel exhausted and depressed all the time.,High,52.82774547691432,63,M
Everything feels hopeless and I'm struggling daily. Seeking help.,High,66.47213675581642,65,M
I'm having panic attacks and anxiety episodes. I don't know what to do.,High,66.4461326150759,23,Other
I can't sleep at all and feel like I'm falling apart. Seeking help.,Critical,99.83342343396572,26,M
I feel very anxious and unable to sleep because of work pressure. I don't know what to do.,High,52.72774079414374,55,F
I feel completely helpless and don't know what to do. I don't know what to do.,Critical,95.19614854853147,30,M
Sometimes I feel stressed but it's manageable.,Moderate,46.35668432350043,38,Other
I'm constantly worried and can't focus on anything. Seeking help.,High,59.90431729023138,36,M
I feel somewhat anxious about upcoming deadlines. Need advice.,Moderate,40.91373776990947,61,F
I'm enjoying my daily routine. I don't know what to do.,Low,5.0533315542815895,19,F
I can't cope with the pressure anymore. I don't know what to do.,High,71.58334123929563,23,M
I can't sleep at all and feel like I'm falling apart. I don't know what to do.,Critical,84.50489046964643,65,M
I feel calm and peaceful. I don't know what to do.,Low,18.23715278380334,61,Other
I can't cope with the pressure anymore. Seeking help.,High,54.89444964208865,32,M
The stress is overwhelming and affecting my health. Seeking help.,High,51.50668475723902,30,F
I'm sleeping well and feeling energized. Seeking help.,Low,14.576152775589769,69,F
I feel a bit overwhelmed with responsibilities. I don't know what to do.,Moderate,40.6452042667808,53,F
I feel very anxious and unable to sleep because of work pressure. I don't know what to do.,High,74.41813096656448,42,F
Work is balanced and I have time for hobbies. Seeking help.,Low,25.782473798417673,48,Other
I feel somewhat anxious about upcoming deadlines. I don't know what to do.,Moderate,41.34624439257807,53,F
I can't sleep at all and feel like I'm falling apart. Seeking help.,Critical,84.3377420759597,59,Other
Everything is falling apart and I can't handle it anymore. How can I improve this?,Critical,95.47972148566976,26,F
Everything is going well at work.,Low,5.243203284821315,59,M
Life has been pretty manageable lately. Need advice.,Low,9.061815055043851,53,Other
I'm constantly worried and can't focus on anything. I don't know what to do.,High,69.16640338001015,50,Other
Everything feels hopeless and I'm struggling daily. How can I improve this?,High,55.88088962004962,51,M
I feel good and relaxed today. Seeking help.,Low,5.353378956833163,32,Other
My mind keeps racing and I feel trapped.,High,65.94901983289925,31,M
I'm having panic attacks and anxiety episodes. Need advice.,High,53.54435983817755,24,M
I'm constantly worried and can't focus on anything.,High,60.70499037314037,66,Other
The stress is unbearable and I need immediate help. How can I improve this?,Critical,95.46767642798082,43,F
Everything feels hopeless and I'm struggling daily. How can I improve this?,High,69.31556818623457,57,M
I feel completely helpless and don't know what to do.,Critical,85.02969785097457,23,M
I can't cope with the pressure anymore. I don't know what to do.,High,62.97649477270676,22,Other
My mind keeps racing and I feel trapped. I don't know what to do.,High,72.00197718903645,20,F
Everything is going well at work. I don't know what to do.,Low,9.990057391745937,40,F
I'm having trouble sleeping occasionally. How can I improve this?,Moderate,44.61301020478492,25,F
I feel exhausted and depressed all the time. Seeking help.,High,74.04164339887033,48,Other
Everything is going well at work.,Low,2.9002934894015886,33,M
I feel worried about several things. Seeking help.,Moderate,39.49773087012437,40,Other
Life has been pretty manageable lately. How can I improve this?,Low,22.115406750217293,18,M
I feel exhausted and depressed all the time. I don't know what to do.,High,65.589642200069,25,Other
I'm having constant panic attacks and can't function. How can I improve this?,Critical,95.6516907563132,51,M
I feel good and relaxed today. Seeking help.,Low,6.820719002882964,19,M
I'm enjoying my daily routine.,Low,7.171659965917968,28,Other
I feel a bit overwhelmed with responsibilities. I don't know what to do.,Moderate,48.84774038204466,23,Other
Everything is falling apart and I can't handle it anymore. How can I improve this?,Critical,89.16438405428546,59,Other
I'm tired from work pressure. Need advice.,Moderate,46.34899416982383,47,F
Everything is falling apart and I can't handle it anymore. How can I improve this?,Critical,78.53195123188765,31,M
I'm having trouble sleeping occasionally. I don't know what to do.,Moderate,33.47049029973017,52,F
I have severe anxiety and depression that won't go away.,Critical,91.0243019336333,19,M
I feel somewhat anxious about upcoming deadlines.,Moderate,48.455143810267884,63,F
The stress is unbearable and I need immediate help.,Critical,87.56415191158607,23,M
I'm constantly worried and can't focus on anything. I don't know what to do.,High,51.70430773463734,21,M
Life has been pretty manageable lately. How can I improve this?,Low,16.48588607685051,30,Other
I'm constantly worried and can't focus on anything. Seeking help.,High,56.94381559373153,60,F
Everything feels hopeless and I'm struggling daily. Need advice.,High,53.8006213282162,22,Other
I feel good and relaxed today. Need advice.,Low,1.7449138651642737,67,M
