text,stress_level,stress_score,age,gender,text_length,word_count,stress_level_encoded
i'm having panic attacks and anxiety episodes. how can i improve this?,High,61.413364262072754,61,F,70,12,2
i have severe anxiety and depression that won't go away.,Critical,78.05219886751684,56,F,56,10,3
i feel good and relaxed today.,Low,19.43070361624087,69,M,30,6,0
everything is falling apart and i can't handle it anymore.,Critical,87.76868256443915,54,M,58,10,3
i feel calm and peaceful. need advice.,Low,7.323765667433225,49,M,38,7,0
i'm tired from work pressure. how can i improve this?,Moderate,49.435641654419214,29,F,53,10,1
the stress is overwhelming and affecting my health.,High,57.52195774541924,34,Other,51,8,2
i'm constantly worried and can't focus on anything. seeking help.,High,60.27592533295578,49,M,65,10,2
i'm having panic attacks and anxiety episodes. how can i improve this?,High,53.622371802280576,43,F,70,12,2
i feel calm and peaceful. need advice.,Low,2.425599789981457,34,Other,38,7,0
i'm having constant panic attacks and can't function. need advice.,Critical,90.80764576483948,65,M,66,10,3
i'm enjoying my daily routine. seeking help.,Low,5.595555311995627,20,Other,44,7,0
everything is going well at work. need advice.,Low,15.36279174897843,37,Other,46,8,0
i feel good and relaxed today. i don't know what to do.,Low,11.92716063262567,57,M,55,12,0
i feel very anxious and unable to sleep because of work pressure. i don't know what to do.,High,52.83683803101473,52,Other,90,18,2
i'm constantly worried and can't focus on anything. how can i improve this?,High,74.55420858323589,66,F,75,13,2
everything is falling apart and i can't handle it anymore. seeking help.,Critical,97.43039394883316,49,Other,72,12,3
i feel good and relaxed today. need advice.,Low,10.476287238379827,37,F,43,8,0
the stress is unbearable and i need immediate help. how can i improve this?,Critical,77.10349912487622,55,F,75,14,3
i'm sleeping well and feeling energized.,Low,28.204003273733356,46,F,40,6,0
everything is going well at work. need advice.,Low,14.568412607586795,33,M,46,8,0
i feel good and relaxed today. seeking help.,Low,0.542260908465626,65,Other,44,8,0
my mind keeps racing and i feel trapped. how can i improve this?,High,64.20771508338679,68,F,64,13,2
i'm tired from work pressure. seeking help.,Moderate,41.79741695121088,68,F,43,7,1
i feel completely helpless and don't know what to do.,Critical,94.87028258854122,45,Other,53,10,3
sometimes i feel stressed but it's manageable. need advice.,Moderate,34.60370536483111,21,Other,59,9,1
i can't sleep at all and feel like i'm falling apart. seeking help.,Critical,99.86376276993352,63,M,67,13,3
the stress is unbearable and i need immediate help. seeking help.,Critical,75.38641541322168,66,F,65,11,3
i feel completely helpless and don't know what to do. how can i improve this?,Critical,99.50828959290116,38,Other,77,15,3
i'm having trouble sleeping occasionally.,Moderate,33.38985493372185,59,Other,41,5,1
i feel completely helpless and don't know what to do. i don't know what to do.,Critical,89.25152925223412,49,Other,78,16,3
i have severe anxiety and depression that won't go away. i don't know what to do.,Critical,81.35409122674346,19,F,81,16,3
i feel very anxious and unable to sleep because of work pressure. seeking help.,High,53.41553328605072,59,Other,79,14,2
work has been a bit overwhelming lately. seeking help.,Moderate,47.34144637160208,24,M,54,9,1
i feel exhausted and depressed all the time. how can i improve this?,High,66.24909826944413,68,Other,68,13,2
everything is going well at work. need advice.,Low,2.81945819522607,42,F,46,8,0
i can't cope with the pressure anymore. i don't know what to do.,High,70.97333755173409,39,M,64,13,2
i'm sleeping well and feeling energized. need advice.,Low,9.097965440196685,54,M,53,8,0
the stress is unbearable and i need immediate help. seeking help.,Critical,80.39552568742108,56,F,65,11,3
i feel calm and peaceful. need advice.,Low,12.340617151700355,57,M,38,7,0
i have severe anxiety and depression that won't go away.,Critical,83.07391182353115,36,F,56,10,3
life has been pretty manageable lately.,Low,5.530010229941102,29,M,39,6,0
everything is going well at work. i don't know what to do.,Low,4.693111280132581,49,F,58,12,0
i feel good and relaxed today. seeking help.,Low,19.80592130153194,18,M,44,8,0
everything feels hopeless and i'm struggling daily. seeking help.,High,60.89182246694728,20,F,65,9,2
sometimes i feel stressed but it's manageable. seeking help.,Moderate,32.40329295611284,31,M,60,9,1
i'm sleeping well and feeling energized. how can i improve this?,Low,25.663817520330216,22,F,64,11,0
i'm having constant panic attacks and can't function.,Critical,86.83679426951414,47,M,53,8,3
work has been a bit overwhelming lately. how can i improve this?,Moderate,48.98291463182772,51,Other,64,12,1
i'm enjoying my daily routine.,Low,15.094087757402631,22,M,30,5,0
work is balanced and i have time for hobbies. how can i improve this?,Low,28.327547913755023,49,Other,69,14,0
the stress is unbearable and i need immediate help. how can i improve this?,Critical,84.70424815516304,50,M,75,14,3
i feel completely helpless and don't know what to do. need advice.,Critical,98.53662021941312,18,M,66,12,3
the stress is overwhelming and affecting my health. seeking help.,High,54.89477836973241,29,Other,65,10,2
sometimes i feel stressed but it's manageable. need advice.,Moderate,31.88885921511857,40,M,59,9,1
i can't cope with the pressure anymore. i don't know what to do.,High,71.12188277423637,51,Other,64,13,2
i feel worried about several things. i don't know what to do.,Moderate,43.85780717383879,62,Other,61,12,1
the stress is unbearable and i need immediate help. seeking help.,Critical,85.44865079288947,53,F,65,11,3
i'm having trouble sleeping occasionally. how can i improve this?,Moderate,49.81010284001347,35,M,65,10,1
everything is falling apart and i can't handle it anymore. how can i improve this?,Critical,89.04666730359435,66,Other,82,15,3
i can't sleep at all and feel like i'm falling apart.,Critical,80.95590381009949,66,F,53,11,3
i feel somewhat anxious about upcoming deadlines. need advice.,Moderate,36.40099202061224,36,M,62,9,1
life has been pretty manageable lately. how can i improve this?,Low,27.16145929257791,26,Other,63,11,0
the stress is unbearable and i need immediate help. seeking help.,Critical,89.33594720308216,22,Other,65,11,3
i feel exhausted and depressed all the time. how can i improve this?,High,66.81296140192596,40,M,68,13,2
life has been pretty manageable lately. i don't know what to do.,Low,14.832609141077445,22,Other,64,12,0
i feel completely helpless and don't know what to do. how can i improve this?,Critical,92.64578709696735,26,F,77,15,3
i can't sleep at all and feel like i'm falling apart. seeking help.,Critical,77.52806690306976,57,F,67,13,3
i'm having trouble sleeping occasionally. seeking help.,Moderate,44.124844543129925,46,M,55,7,1
life has been pretty manageable lately. how can i improve this?,Low,11.119264412006729,34,Other,63,11,0
i'm having constant panic attacks and can't function. how can i improve this?,Critical,93.83445463147352,48,Other,77,13,3
everything is falling apart and i can't handle it anymore. i don't know what to do.,Critical,92.6271091074165,43,Other,83,16,3
i'm enjoying my daily routine. i don't know what to do.,Low,7.610465216194163,45,F,55,11,0
i feel calm and peaceful.,Low,23.01584559325715,56,M,25,5,0
i feel exhausted and depressed all the time. how can i improve this?,High,74.05431371186354,66,M,68,13,2
everything is falling apart and i can't handle it anymore. i don't know what to do.,Critical,85.9083957901639,61,M,83,16,3
i'm having constant panic attacks and can't function. seeking help.,Critical,83.06715970693959,28,M,67,10,3
i'm having trouble sleeping occasionally. i don't know what to do.,Moderate,49.38605071238198,64,M,66,11,1
work is balanced and i have time for hobbies. seeking help.,Low,13.636231943033197,20,Other,59,11,0
i feel calm and peaceful. how can i improve this?,Low,28.761072222235384,41,M,49,10,0
i feel worried about several things. i don't know what to do.,Moderate,42.93696723337448,67,M,61,12,1
i feel completely helpless and don't know what to do.,Critical,92.45404285049364,26,M,53,10,3
sometimes i feel stressed but it's manageable. seeking help.,Moderate,43.69462345107759,30,F,60,9,1
i'm sleeping well and feeling energized. seeking help.,Low,28.49399739875772,64,M,54,8,0
i'm tired from work pressure. seeking help.,Moderate,47.32127779000817,22,Other,43,7,1
i'm tired from work pressure.,Moderate,46.21106661563665,28,M,29,5,1
i feel very anxious and unable to sleep because of work pressure. need advice.,High,74.24785994536508,66,M,78,14,2
i feel good and relaxed today.,Low,12.444585070129955,38,Other,30,6,0
i can't sleep at all and feel like i'm falling apart. seeking help.,Critical,88.35865687573657,55,Other,67,13,3
i can't cope with the pressure anymore. i don't know what to do.,High,68.1530211017962,27,Other,64,13,2
i'm sleeping well and feeling energized.,Low,6.151359855195747,68,M,40,6,0
i'm having panic attacks and anxiety episodes. i don't know what to do.,High,71.9555166869798,45,Other,71,13,2
everything is going well at work. need advice.,Low,14.944955599376788,67,M,46,8,0
i can't cope with the pressure anymore. need advice.,High,52.21020558414117,34,Other,52,9,2
work is balanced and i have time for hobbies. i don't know what to do.,Low,23.54004791832929,28,Other,70,15,0
the stress is unbearable and i need immediate help. i don't know what to do.,Critical,99.51156812730945,51,F,76,15,3
i'm having trouble sleeping occasionally. i don't know what to do.,Moderate,31.820041821026606,69,M,66,11,1
my mind keeps racing and i feel trapped. i don't know what to do.,High,72.76178196008183,68,M,65,14,2
the stress is unbearable and i need immediate help.,Critical,86.48367019865431,27,M,51,9,3
sometimes i feel stressed but it's manageable. seeking help.,Moderate,49.60065150570954,19,M,60,9,1
i'm enjoying my daily routine. need advice.,Low,7.204368563345792,64,M,43,7,0
i feel a bit overwhelmed with responsibilities. how can i improve this?,Moderate,38.00600977820562,57,M,71,12,1
i feel completely helpless and don't know what to do. i don't know what to do.,Critical,87.88090137160528,68,Other,78,16,3
i have severe anxiety and depression that won't go away. seeking help.,Critical,81.96475847579896,39,M,70,12,3
i can't cope with the pressure anymore. i don't know what to do.,High,61.51946920081814,63,F,64,13,2
everything is going well at work.,Low,20.71184485888096,43,M,33,6,0
i'm tired from work pressure. need advice.,Moderate,31.63518063897744,65,M,42,7,1
i feel calm and peaceful.,Low,24.18603839379184,52,M,25,5,0
everything is falling apart and i can't handle it anymore. how can i improve this?,Critical,80.90291332793511,40,F,82,15,3
sometimes i feel stressed but it's manageable. need advice.,Moderate,31.24682725022483,68,Other,59,9,1
everything feels hopeless and i'm struggling daily. how can i improve this?,High,62.79193605289166,62,F,75,12,2
i'm having trouble sleeping occasionally.,Moderate,37.94327665008165,54,F,41,5,1
i feel very anxious and unable to sleep because of work pressure. i don't know what to do.,High,55.28620017491362,61,M,90,18,2
the stress is unbearable and i need immediate help. i don't know what to do.,Critical,86.8492485357639,20,M,76,15,3
i feel a bit overwhelmed with responsibilities. i don't know what to do.,Moderate,41.68398969428338,64,M,72,13,1
i'm constantly worried and can't focus on anything. how can i improve this?,High,57.09439764496811,43,F,75,13,2
i'm enjoying my daily routine. seeking help.,Low,29.59545746378939,50,M,44,7,0
i'm sleeping well and feeling energized. how can i improve this?,Low,10.960704590221727,47,Other,64,11,0
i'm sleeping well and feeling energized.,Low,5.201207858842645,20,Other,40,6,0
life has been pretty manageable lately. i don't know what to do.,Low,29.47135850725819,37,Other,64,12,0
everything is falling apart and i can't handle it anymore. need advice.,Critical,99.37667907362857,19,Other,71,12,3
i'm constantly worried and can't focus on anything. how can i improve this?,High,56.9994773415071,22,F,75,13,2
the stress is unbearable and i need immediate help.,Critical,85.63591096541042,37,M,51,9,3
i feel very anxious and unable to sleep because of work pressure. seeking help.,High,65.26550106104082,28,Other,79,14,2
i'm having trouble sleeping occasionally. i don't know what to do.,Moderate,41.877661951157975,27,M,66,11,1
i feel calm and peaceful. i don't know what to do.,Low,6.051913869907075,37,M,50,11,0
i feel good and relaxed today. need advice.,Low,22.8068357966906,32,F,43,8,0
i'm tired from work pressure. seeking help.,Moderate,32.13398500226872,61,F,43,7,1
i'm enjoying my daily routine. how can i improve this?,Low,28.15021370463113,52,Other,54,10,0
everything is falling apart and i can't handle it anymore. seeking help.,Critical,76.20236609910219,25,Other,72,12,3
everything is falling apart and i can't handle it anymore. need advice.,Critical,94.98842827298787,38,M,71,12,3
i feel completely helpless and don't know what to do. how can i improve this?,Critical,90.84396409300444,42,M,77,15,3
i'm constantly worried and can't focus on anything. need advice.,High,70.41498598678943,55,M,64,10,2
everything feels hopeless and i'm struggling daily.,High,64.43715677265314,50,Other,51,7,2
i'm tired from work pressure. need advice.,Moderate,31.33238224781634,56,Other,42,7,1
i'm having trouble sleeping occasionally. i don't know what to do.,Moderate,42.55416106142836,69,Other,66,11,1
i can't sleep at all and feel like i'm falling apart. need advice.,Critical,88.33652729940803,53,M,66,13,3
i feel good and relaxed today. need advice.,Low,21.20941383730377,50,F,43,8,0
everything is going well at work. need advice.,Low,22.87376057222072,27,M,46,8,0
life has been pretty manageable lately. how can i improve this?,Low,3.318952108656217,62,Other,63,11,0
i'm having constant panic attacks and can't function. how can i improve this?,Critical,87.1589370498902,29,M,77,13,3
everything feels hopeless and i'm struggling daily. how can i improve this?,High,64.96106753013068,53,F,75,12,2
sometimes i feel stressed but it's manageable. i don't know what to do.,Moderate,46.535976556181566,57,F,71,13,1
work is balanced and i have time for hobbies. need advice.,Low,13.86017410932398,29,F,58,11,0
i'm having panic attacks and anxiety episodes.,High,52.51986507539716,64,Other,46,7,2
the stress is unbearable and i need immediate help. seeking help.,Critical,97.96876305651868,54,Other,65,11,3
i feel calm and peaceful.,Low,11.23306109161266,68,M,25,5,0
i feel good and relaxed today.,Low,27.76705538720329,63,M,30,6,0
everything is falling apart and i can't handle it anymore.,Critical,79.65802198735301,18,Other,58,10,3
i'm having trouble sleeping occasionally. seeking help.,Moderate,41.82550871489859,64,M,55,7,1
i'm constantly worried and can't focus on anything. seeking help.,High,70.07133621495029,43,M,65,10,2
i feel calm and peaceful. need advice.,Low,16.121868088137685,55,F,38,7,0
i'm having trouble sleeping occasionally.,Moderate,44.75002496219497,60,Other,41,5,1
i'm having trouble sleeping occasionally.,Moderate,34.96452885514304,24,F,41,5,1
i feel good and relaxed today. need advice.,Low,10.871816973498994,39,F,43,8,0
life has been pretty manageable lately.,Low,15.455210472204378,37,M,39,6,0
i'm sleeping well and feeling energized. seeking help.,Low,25.81896053672202,57,M,54,8,0
sometimes i feel stressed but it's manageable. need advice.,Moderate,37.94636230915196,36,F,59,9,1
life has been pretty manageable lately. seeking help.,Low,18.74927961153157,47,Other,53,8,0
i'm sleeping well and feeling energized. i don't know what to do.,Low,21.421775993694848,19,F,65,12,0
work has been a bit overwhelming lately. need advice.,Moderate,39.94023897642498,21,M,53,9,1
i feel a bit overwhelmed with responsibilities. i don't know what to do.,Moderate,48.922309242672654,27,Other,72,13,1
i feel exhausted and depressed all the time. how can i improve this?,High,70.01874428715303,49,F,68,13,2
i can't sleep at all and feel like i'm falling apart. need advice.,Critical,88.79306488148349,41,Other,66,13,3
i can't cope with the pressure anymore.,High,64.87622449251052,64,M,39,7,2
i feel good and relaxed today. i don't know what to do.,Low,16.701647543500982,52,F,55,12,0
i'm having panic attacks and anxiety episodes. how can i improve this?,High,70.75549661417479,69,M,70,12,2
i'm sleeping well and feeling energized. i don't know what to do.,Low,8.794431907830397,24,F,65,12,0
work is balanced and i have time for hobbies. seeking help.,Low,25.443842864006506,36,M,59,11,0
work has been a bit overwhelming lately. seeking help.,Moderate,48.21248007080608,37,Other,54,9,1
work has been a bit overwhelming lately. how can i improve this?,Moderate,37.26118424390181,37,M,64,12,1
i'm tired from work pressure. seeking help.,Moderate,37.25515789331891,61,Other,43,7,1
everything is falling apart and i can't handle it anymore.,Critical,94.49396936970078,27,F,58,10,3
i'm tired from work pressure.,Moderate,39.421309053876286,67,Other,29,5,1
i feel very anxious and unable to sleep because of work pressure. seeking help.,High,63.54085536652167,42,Other,79,14,2
i'm sleeping well and feeling energized. how can i improve this?,Low,25.04790710397897,43,F,64,11,0
i have severe anxiety and depression that won't go away. need advice.,Critical,81.80768316298422,23,F,69,12,3
i'm constantly worried and can't focus on anything. i don't know what to do.,High,64.41291188785634,34,M,76,14,2
i'm constantly worried and can't focus on anything. seeking help.,High,68.0050645408074,59,F,65,10,2
i feel good and relaxed today. need advice.,Low,7.994951801126467,57,F,43,8,0
i feel very anxious and unable to sleep because of work pressure. i don't know what to do.,High,62.35684625345679,62,M,90,18,2
i feel worried about several things. i don't know what to do.,Moderate,45.41822754128541,60,M,61,12,1
i feel calm and peaceful. seeking help.,Low,23.129577766064354,38,Other,39,7,0
i feel worried about several things. need advice.,Moderate,44.380918103684905,51,Other,49,8,1
i'm having panic attacks and anxiety episodes.,High,53.375031935530174,53,Other,46,7,2
i'm having trouble sleeping occasionally.,Moderate,46.83059320620087,62,Other,41,5,1
work has been a bit overwhelming lately.,Moderate,39.48474617400739,26,M,40,7,1
sometimes i feel stressed but it's manageable. i don't know what to do.,Moderate,43.76804792855472,42,Other,71,13,1
everything is going well at work. how can i improve this?,Low,23.982476369069374,68,F,57,11,0
i feel calm and peaceful. how can i improve this?,Low,10.829216908200804,66,M,49,10,0
i can't sleep at all and feel like i'm falling apart. how can i improve this?,Critical,86.1501443239489,33,Other,77,16,3
i can't cope with the pressure anymore. seeking help.,High,68.97589613847124,33,F,53,9,2
i have severe anxiety and depression that won't go away. need advice.,Critical,87.2356240910785,43,M,69,12,3
i have severe anxiety and depression that won't go away.,Critical,89.70659392424828,40,F,56,10,3
i'm constantly worried and can't focus on anything. seeking help.,High,57.82137141263969,24,M,65,10,2
everything is going well at work. seeking help.,Low,12.652879791915376,35,Other,47,8,0
i feel completely helpless and don't know what to do. i don't know what to do.,Critical,82.97751183108139,56,M,78,16,3
my mind keeps racing and i feel trapped. how can i improve this?,High,55.750220932192576,62,F,64,13,2
i feel completely helpless and don't know what to do. how can i improve this?,Critical,83.49687409420166,56,Other,77,15,3
the stress is unbearable and i need immediate help.,Critical,94.7680791209741,30,F,51,9,3
i can't cope with the pressure anymore. i don't know what to do.,High,65.39657970455761,52,F,64,13,2
i feel completely helpless and don't know what to do. seeking help.,Critical,96.86754181710498,35,Other,67,12,3
i'm sleeping well and feeling energized.,Low,10.521354463551305,46,F,40,6,0
i feel somewhat anxious about upcoming deadlines. how can i improve this?,Moderate,41.61514414454656,64,M,73,12,1
i can't sleep at all and feel like i'm falling apart. how can i improve this?,Critical,83.40926159571055,22,M,77,16,3
i'm enjoying my daily routine. i don't know what to do.,Low,14.019322996129578,21,F,55,11,0
i feel good and relaxed today. seeking help.,Low,8.317969370903208,63,Other,44,8,0
i feel somewhat anxious about upcoming deadlines. how can i improve this?,Moderate,37.83260281080712,29,Other,73,12,1
i'm having constant panic attacks and can't function. how can i improve this?,Critical,81.47456629004535,23,Other,77,13,3
everything is falling apart and i can't handle it anymore. seeking help.,Critical,90.01996116105495,51,M,72,12,3
i feel exhausted and depressed all the time. how can i improve this?,High,55.79179253458609,46,Other,68,13,2
i'm enjoying my daily routine. i don't know what to do.,Low,15.380655330495255,60,F,55,11,0
i feel somewhat anxious about upcoming deadlines. need advice.,Moderate,33.72876524288509,23,M,62,9,1
work is balanced and i have time for hobbies.,Low,6.489720691096606,52,F,45,9,0
the stress is overwhelming and affecting my health. i don't know what to do.,High,59.90605047256647,35,F,76,14,2
i feel completely helpless and don't know what to do. seeking help.,Critical,95.39582812476544,64,M,67,12,3
i'm having panic attacks and anxiety episodes. need advice.,High,71.50317041044809,58,Other,59,9,2
sometimes i feel stressed but it's manageable.,Moderate,47.77496159737954,51,F,46,7,1
i can't sleep at all and feel like i'm falling apart. need advice.,Critical,88.77143426522848,51,Other,66,13,3
i'm enjoying my daily routine. i don't know what to do.,Low,21.70260341065755,35,F,55,11,0
i'm having constant panic attacks and can't function. seeking help.,Critical,97.36199827420168,34,F,67,10,3
i'm tired from work pressure. i don't know what to do.,Moderate,41.84815569319035,20,F,54,11,1
i can't cope with the pressure anymore. need advice.,High,56.675706754235534,33,M,52,9,2
i feel good and relaxed today. seeking help.,Low,10.020266362357136,42,M,44,8,0
everything feels hopeless and i'm struggling daily. how can i improve this?,High,67.4747684509897,24,M,75,12,2
i have severe anxiety and depression that won't go away. i don't know what to do.,Critical,86.63675021924959,27,Other,81,16,3
work is balanced and i have time for hobbies. how can i improve this?,Low,4.822796881449246,19,F,69,14,0
the stress is unbearable and i need immediate help. seeking help.,Critical,75.15964679292084,63,Other,65,11,3
i can't sleep at all and feel like i'm falling apart. i don't know what to do.,Critical,77.89609641950643,41,M,78,17,3
everything is falling apart and i can't handle it anymore. i don't know what to do.,Critical,82.08357370663954,58,F,83,16,3
i feel worried about several things. seeking help.,Moderate,33.58994646847667,46,F,50,8,1
the stress is unbearable and i need immediate help. need advice.,Critical,76.6959264776293,34,F,64,11,3
i'm having panic attacks and anxiety episodes. i don't know what to do.,High,58.64707642382392,35,F,71,13,2
i'm having constant panic attacks and can't function. need advice.,Critical,86.14895767525803,52,M,66,10,3
sometimes i feel stressed but it's manageable. need advice.,Moderate,30.442471030579945,28,F,59,9,1
everything is going well at work. seeking help.,Low,8.208799988449977,21,M,47,8,0
i feel good and relaxed today. seeking help.,Low,4.908714635750076,46,Other,44,8,0
everything is going well at work. how can i improve this?,Low,23.18468340050413,39,Other,57,11,0
i feel somewhat anxious about upcoming deadlines. how can i improve this?,Moderate,49.26473306880264,46,M,73,12,1
i'm having constant panic attacks and can't function. need advice.,Critical,90.96314869160214,22,Other,66,10,3
work has been a bit overwhelming lately. i don't know what to do.,Moderate,47.881984073582686,52,M,65,13,1
i feel exhausted and depressed all the time. how can i improve this?,High,64.06875715858456,33,Other,68,13,2
everything is falling apart and i can't handle it anymore. seeking help.,Critical,80.09253123190686,25,Other,72,12,3
work has been a bit overwhelming lately. need advice.,Moderate,45.22047981885998,46,M,53,9,1
i have severe anxiety and depression that won't go away.,Critical,90.41625786301844,47,F,56,10,3
i'm having panic attacks and anxiety episodes. how can i improve this?,High,67.13913218072429,26,F,70,12,2
i feel calm and peaceful. seeking help.,Low,1.9262681122540224,19,Other,39,7,0
i can't sleep at all and feel like i'm falling apart. i don't know what to do.,Critical,75.29051349770252,47,F,78,17,3
i feel a bit overwhelmed with responsibilities. need advice.,Moderate,44.43775255853871,62,M,60,9,1
everything is falling apart and i can't handle it anymore. need advice.,Critical,97.695466324616,39,Other,71,12,3
i feel good and relaxed today. how can i improve this?,Low,3.083772134779971,37,M,54,11,0
my mind keeps racing and i feel trapped.,High,73.53093760580967,19,M,40,8,2
life has been pretty manageable lately. seeking help.,Low,2.4752560332126383,69,F,53,8,0
work has been a bit overwhelming lately. i don't know what to do.,Moderate,49.54932772629572,63,F,65,13,1
i have severe anxiety and depression that won't go away. how can i improve this?,Critical,76.0295873819818,66,Other,80,15,3
i'm enjoying my daily routine.,Low,0.9475843447692612,56,Other,30,5,0
i'm constantly worried and can't focus on anything. i don't know what to do.,High,73.38004538248649,45,F,76,14,2
i feel completely helpless and don't know what to do. need advice.,Critical,87.10996118935101,37,F,66,12,3
i have severe anxiety and depression that won't go away.,Critical,87.02259578622463,59,F,56,10,3
i'm sleeping well and feeling energized. how can i improve this?,Low,17.798359449305362,30,M,64,11,0
i have severe anxiety and depression that won't go away. how can i improve this?,Critical,83.22543594536656,62,M,80,15,3
i feel completely helpless and don't know what to do. i don't know what to do.,Critical,79.04181360367006,36,F,78,16,3
i feel somewhat anxious about upcoming deadlines. how can i improve this?,Moderate,39.86553693567599,27,Other,73,12,1
i can't cope with the pressure anymore.,High,60.45999471669132,24,M,39,7,2
i have severe anxiety and depression that won't go away. how can i improve this?,Critical,93.56766302999952,54,F,80,15,3
i have severe anxiety and depression that won't go away.,Critical,96.6757874030612,53,F,56,10,3
my mind keeps racing and i feel trapped. i don't know what to do.,High,65.15471783902929,53,F,65,14,2
the stress is overwhelming and affecting my health. seeking help.,High,64.80875821483406,29,Other,65,10,2
my mind keeps racing and i feel trapped.,High,70.89995159453024,52,F,40,8,2
my mind keeps racing and i feel trapped. i don't know what to do.,High,65.04638459155021,61,F,65,14,2
i'm having constant panic attacks and can't function. seeking help.,Critical,96.35962733423948,58,F,67,10,3
life has been pretty manageable lately.,Low,13.359157650079965,37,F,39,6,0
i feel good and relaxed today.,Low,11.73244609955282,45,F,30,6,0
i'm having constant panic attacks and can't function. how can i improve this?,Critical,83.12975160561737,53,M,77,13,3
work is balanced and i have time for hobbies. need advice.,Low,7.081513900393919,31,F,58,11,0
i feel worried about several things.,Moderate,46.577667317652185,22,Other,36,6,1
i can't sleep at all and feel like i'm falling apart. how can i improve this?,Critical,79.17604769752374,45,M,77,16,3
everything feels hopeless and i'm struggling daily. seeking help.,High,66.59511319054513,66,M,65,9,2
my mind keeps racing and i feel trapped. how can i improve this?,High,64.6338591099188,37,F,64,13,2
i can't sleep at all and feel like i'm falling apart. how can i improve this?,Critical,88.2792382000258,43,M,77,16,3
the stress is overwhelming and affecting my health. seeking help.,High,61.30497570708588,22,M,65,10,2
i'm having panic attacks and anxiety episodes. how can i improve this?,High,67.20519664666489,67,Other,70,12,2
everything is going well at work. seeking help.,Low,9.693919712108356,56,Other,47,8,0
i'm having trouble sleeping occasionally. how can i improve this?,Moderate,39.7769316051384,55,Other,65,10,1
life has been pretty manageable lately. i don't know what to do.,Low,4.306270861181786,59,Other,64,12,0
life has been pretty manageable lately. seeking help.,Low,2.8170214736825514,49,F,53,8,0
everything is falling apart and i can't handle it anymore.,Critical,81.3826631182108,43,Other,58,10,3
i'm constantly worried and can't focus on anything. i don't know what to do.,High,56.10368226055935,25,Other,76,14,2
i feel exhausted and depressed all the time.,High,52.82774547691432,63,M,44,8,2
everything feels hopeless and i'm struggling daily. seeking help.,High,66.47213675581642,65,M,65,9,2
i'm having panic attacks and anxiety episodes. i don't know what to do.,High,66.4461326150759,23,Other,71,13,2
i can't sleep at all and feel like i'm falling apart. seeking help.,Critical,99.83342343396572,26,M,67,13,3
i feel very anxious and unable to sleep because of work pressure. i don't know what to do.,High,52.72774079414374,55,F,90,18,2
i feel completely helpless and don't know what to do. i don't know what to do.,Critical,95.19614854853148,30,M,78,16,3
sometimes i feel stressed but it's manageable.,Moderate,46.35668432350043,38,Other,46,7,1
i'm constantly worried and can't focus on anything. seeking help.,High,59.90431729023138,36,M,65,10,2
i feel somewhat anxious about upcoming deadlines. need advice.,Moderate,40.91373776990947,61,F,62,9,1
i'm enjoying my daily routine. i don't know what to do.,Low,5.0533315542815895,19,F,55,11,0
i can't cope with the pressure anymore. i don't know what to do.,High,71.58334123929563,23,M,64,13,2
